bus_id,bus_name,baskv_kv,ide,ide_desc,area,zone,owner,vm_pu,va_deg,is_international,country
10,NPMADRYN,500.0,1,PQ,21,51,10,1.02483,24.7719,False,
11,NPMD.CHL,500.0,1,PQ,21,51,10,0.99492,35.2339,False,
12,SCN_500,500.0,1,PQ,21,52,10,1.01272,28.0957,False,
15,RSCRUZ,500.0,1,PQ,21,52,10,1.00693,27.2206,False,
19,ESPERANZ,500.0,1,PQ,21,52,10,1.005,26.8682,False,
1000,CHOCON,500.0,1,PQ,7,27,10,1.02377,22.1114,False,
1002,P.AGUILA,500.0,1,PQ,7,27,10,1.01164,27.0372,False,
1004,CHOCONOE,500.0,1,PQ,7,27,10,1.02393,22.2018,False,
1006,CHOE.CH,500.0,1,PQ,7,27,10,1.00865,15.8777,False,
1007,CHOE.PA,500.0,1,PQ,7,27,10,1.03107,15.0609,False,
1008,CH.CHOEL,500.0,1,PQ,7,26,10,1.00885,19.5791,False,
1010,CHOE.BB1,500.0,1,PQ,7,26,10,0.99279,27.8937,False,
1011,CHOE.BB2,500.0,1,PQ,7,26,10,0.99478,26.6059,False,
1012,C.COSTA,500.0,1,PQ,7,27,10,1.0178,17.8369,False,
1014,T.AGUI1,500.0,1,PQ,7,27,10,1.01247,26.8554,False,
1016,ALICURA,500.0,1,PQ,7,27,10,0.99838,27.7819,False,
1018,C.H.CHOC,500.0,1,PQ,7,27,10,1.02387,22.128,False,
1020,L.LATA,500.0,1,PQ,7,27,10,1.01571,19.1323,False,
1022,PPLEUFU,500.0,1,PQ,7,27,10,1.01255,27.0108,False,
1024,P.BAND.,500.0,1,PQ,7,27,10,1.01519,18.5896,False,
1025,A.CAJON,500.0,1,PQ,7,27,10,1.02264,23.0121,False,
1026,PUELCHE1,500.0,1,PQ,7,25,10,1.00785,4.6117,False,
1028,PUELCHE2,500.0,1,PQ,7,25,10,1.02149,17.1242,False,
1030,MACACHIN,500.0,1,PQ,7,25,10,1.00318,3.2265,False,
2000,B.BLANCA,500.0,1,PQ,5,24,10,1.01755,9.6128,False,
2001,GUIBROWN,500.0,1,PQ,5,24,10,1.02728,10.6821,False,
2002,CAMPANA,500.0,1,PQ,5,23,10,0.99702,-12.0663,False,
2003,BELGRANO1,500.0,1,PQ,5,23,10,1.00937,-9.8872,False,
2004,HENDERS1,500.0,1,PQ,5,21,10,1.02289,-7.3517,False,
2005,T PEPE,500.0,1,PQ,5,24,10,1.01756,9.6149,False,
2006,HENDERS2,500.0,1,PQ,5,21,10,1.01892,3.8833,False,
2008,OLAVARRI,500.0,1,PQ,5,22,10,1.00997,1.3065,False,
2010,OLA.BB1,500.0,1,PQ,5,22,10,1.00826,-6.3859,False,
2011,OLA.BB2,500.0,1,PQ,5,22,10,1.00512,-4.0591,False,
2012,OLA.AB1,500.0,1,PQ,5,22,10,1.02456,9.4731,False,
2013,OLA.AB2,500.0,1,PQ,5,22,10,1.01699,8.8735,False,
2014,PBUENA1,500.0,1,PQ,5,22,10,1.018,9.6108,False,
2016,PBUENA2,500.0,1,PQ,5,22,10,1.018,9.613,False,
2018,ATUCHA 2,500.0,1,PQ,5,23,10,1.00917,-7.6405,False,
2020,25MAYO_1,500.0,1,PQ,5,21,10,1.00408,-4.7206,False,
2049,VIVO.BB1,500.0,1,PQ,5,22,10,1.00501,4.4376,False,
2050,VIVORATA,500.0,1,PQ,5,22,10,1.00501,4.4376,False,
2090,RAMALLO,500.0,1,PQ,5,23,10,1.02502,-5.2949,False,
2092,AES PARA,500.0,1,PQ,5,23,10,1.02688,-5.0467,False,
3000,EZEIZA,500.0,1,PQ,4,10,10,1.0,-10.1136,False,
3002,ABASTO,500.0,1,PQ,4,10,10,0.99216,-8.1659,False,
3003,EZBPASS,500.0,1,PQ,4,10,10,0.99097,-9.9814,False,
3004,RODRGUEZ,500.0,1,PQ,4,10,10,0.98652,-11.8551,False,
3005,EZE.GENETG01,500.0,1,PQ,4,10,10,1.00111,-9.9264,False,
3006,EZE GENETG02,500.0,1,PQ,4,10,10,1.00111,-9.9264,False,
3007,EZE GENETV03,500.0,1,PQ,4,10,10,1.00316,-9.6221,False,
4000,R.OESTE,500.0,1,PQ,8,29,10,1.02014,-5.6994,False,
4002,R.COROND,500.0,1,PQ,8,29,10,1.02835,-4.8473,False,
4004,C.ELIA,500.0,1,PQ,8,30,10,1.01986,-9.8742,False,
4006,ROMANG,500.0,1,PQ,8,28,10,1.02617,-8.3534,False,
4008,SGDE.ARG,500.0,1,PQ,8,30,10,1.02614,-5.6117,False,
4009,GRAN.PNA,500.0,1,PQ,8,30,10,1.01935,-8.7807,False,
4010,S.TOME,500.0,1,PQ,8,28,10,1.01762,-8.4676,False,
4012,SGAC1500,500.0,1,PQ,8,30,10,1.02618,-5.5665,False,
4013,SGAC2500,500.0,1,PQ,8,30,10,1.02618,-5.5665,False,
4014,SGAC3500,500.0,1,PQ,8,30,10,1.02618,-5.5665,False,
4015,SGAC4500,500.0,1,PQ,8,30,10,1.02614,-5.6118,False,
4018,TERMINAL_500,500.0,1,PQ,8,29,10,1.02924,-4.647,False,
4019,CN-TSE,500.0,1,PQ,8,29,10,1.02866,-4.8353,False,
5000,YACYRETA,500.0,1,PQ,10,62,10,1.02,1.2795,False,
5002,RINCON,500.0,1,PQ,10,62,10,1.02004,1.2186,False,
5004,RESISTEN,500.0,1,PQ,10,61,10,1.01699,-6.3142,False,
5005,P.PATRIA,500.0,1,PQ,10,62,10,1.02013,-5.807,False,
5006,GRANFORMOSA,500.0,1,PQ,10,60,10,0.99531,-9.349,False,
5012,R6L5RS,500.0,1,PQ,10,61,10,1.01699,-6.3142,False,
5016,CHACO,500.0,1,PQ,10,61,10,1.00789,-3.924,False,
5030,MERCEDES,500.0,1,PQ,10,62,10,1.02216,-5.2719,False,
5253,S.ISIDRO,500.0,1,PQ,10,32,10,1.00105,-0.5921,False,
6000,ALMAFUE.,500.0,1,PQ,12,33,10,1.00936,6.2131,False,
6002,A.CABRAL,500.0,1,PQ,12,33,10,1.01459,2.4641,False,
6004,EMBALSE,500.0,1,PQ,12,33,10,1.01337,7.0779,False,
6006,MALVINAS,500.0,1,PQ,12,33,10,0.98086,4.382,False,
6008,R.GRANDE,500.0,1,PQ,12,33,10,1.0147,8.1455,False,
6010,LUJAN.SL,500.0,1,PQ,12,34,10,1.02977,10.7878,False,
7000,GRAN MZA,500.0,1,PQ,14,35,10,1.01706,16.219,False,
7002,RDIAMANT,500.0,1,PQ,14,35,10,1.0163,18.9072,False,
7003,RDIAM.AC,500.0,1,PQ,14,35,10,1.0163,18.9072,False,
7005,RDIAM.GM,500.0,1,PQ,14,35,10,1.0163,18.9072,False,
7010,NVA.SJUAN,500.0,1,PQ,14,63,10,0.99369,16.5562,False,
8000,BRACHO,500.0,1,PQ,15,68,10,1.02006,10.0162,False,
8002,RECREO,500.0,1,PQ,15,64,10,1.00417,4.8114,False,
8004,REC.MALV,500.0,1,PQ,15,64,10,0.96594,11.1092,False,
8006,RIOJASUR,500.0,1,PQ,15,36,10,0.98668,6.2165,False,
8007,COBOS,500.0,1,PQ,15,66,10,1.01618,10.223,False,
8008,JUANCITO,500.0,1,PQ,15,67,10,1.00917,10.0217,False,
8009,MQUEM-CB,500.0,1,PQ,15,65,10,1.01619,2.4257,False,
8010,MQUEMADO,500.0,1,PQ,15,65,10,1.01619,2.4257,False,
8011,MQUEM-CH,500.0,1,PQ,15,65,10,1.01619,2.4257,False,
8012,LAVALLE,500.0,1,PQ,15,65,10,1.00812,6.0021,False,
8013,SANTIAGO,500.0,1,PQ,15,65,10,0.99452,4.4055,False,
